epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.0211,1.50968,1.76366,1.60384,0.59029,0.62249,0.63283,0.33926,1.50712,1.51777,1.61397,0.000665579,0.000665579,0.000665579
2,102.345,1.67437,1.74803,1.71333,0.63581,0.55422,0.61926,0.32768,1.56673,1.57671,1.75413,0.0012663,0.0012663,0.0012663
3,152.539,1.65004,1.71109,1.70307,0.70884,0.60643,0.63756,0.37239,1.49708,1.44998,1.67225,0.00180102,0.00180102,0.00180102
4,203.512,1.61262,1.66333,1.66607,0.67271,0.63454,0.67016,0.35918,1.47459,1.42922,1.58545,0.001703,0.001703,0.001703
5,252.975,1.53574,1.52694,1.60298,0.81913,0.6747,0.75881,0.46832,1.35521,1.31102,1.52826,0.001604,0.001604,0.001604
6,304.206,1.46172,1.37829,1.5539,0.76085,0.75383,0.76422,0.47399,1.31142,1.10516,1.49526,0.001505,0.001505,0.001505
7,354.318,1.42447,1.321,1.53045,0.82943,0.78114,0.80834,0.50723,1.32636,1.05057,1.48534,0.001406,0.001406,0.001406
8,405.152,1.37305,1.22644,1.48921,0.83535,0.73354,0.83089,0.51038,1.27995,1.02398,1.45707,0.001307,0.001307,0.001307
9,456.387,1.31863,1.14852,1.44732,0.81228,0.78313,0.82058,0.53127,1.22291,0.93666,1.40529,0.001208,0.001208,0.001208
10,508.018,1.28433,1.12786,1.43661,0.83791,0.80723,0.84265,0.59343,1.07193,0.91345,1.31862,0.001109,0.001109,0.001109
11,559.244,1.18996,0.89715,1.3736,0.85575,0.83391,0.86267,0.59123,1.12046,0.89456,1.36479,0.00101,0.00101,0.00101
12,610.666,1.16777,0.84013,1.34196,0.87817,0.76305,0.86145,0.58165,1.15563,0.88464,1.33785,0.000911,0.000911,0.000911
13,660.304,1.126,0.78185,1.31228,0.86781,0.79116,0.86481,0.59575,1.14584,0.87114,1.34854,0.000812,0.000812,0.000812
14,711.471,1.07139,0.73018,1.26179,0.85456,0.84948,0.89745,0.62691,1.07584,0.77376,1.29392,0.000713,0.000713,0.000713
15,762.961,1.03893,0.68205,1.25671,0.82851,0.89249,0.91542,0.64303,1.04361,0.72498,1.3023,0.000614,0.000614,0.000614
16,814.272,1.0032,0.64141,1.228,0.89956,0.81928,0.89752,0.64471,1.03688,0.72505,1.28222,0.000515,0.000515,0.000515
17,863.899,0.9665,0.59586,1.19809,0.87393,0.86303,0.90237,0.6465,1.08295,0.69105,1.31284,0.000416,0.000416,0.000416
18,915.257,0.94161,0.56028,1.1797,0.89283,0.86989,0.90872,0.65429,1.02963,0.70084,1.27132,0.000317,0.000317,0.000317
19,966.81,0.88026,0.52364,1.14241,0.89572,0.87149,0.90901,0.66427,1.00721,0.66942,1.28248,0.000218,0.000218,0.000218
20,1017.91,0.84359,0.49559,1.11958,0.88186,0.86933,0.90729,0.66453,1.00219,0.68211,1.28535,0.000119,0.000119,0.000119
