epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.239,0.81556,0.61366,1.25799,0.94501,0.8755,0.94926,0.68532,1.00536,0.5591,1.45095,0.000662338,0.000662338,0.000662338
2,37.4682,0.89248,0.67819,1.28407,0.87732,0.85542,0.91237,0.65918,1.02637,0.65185,1.40269,0.00130269,0.00130269,0.00130269
3,54.9203,0.9417,0.74849,1.29822,0.87962,0.83133,0.90001,0.63524,1.04647,0.68419,1.44976,0.00191664,0.00191664,0.00191664
4,71.9178,0.98272,0.79592,1.33486,0.90135,0.80725,0.92149,0.6539,1.02603,0.64662,1.41413,0.0018812,0.0018812,0.0018812
5,89.1278,0.96424,0.76971,1.30372,0.88917,0.8055,0.88821,0.63598,1.04545,0.74064,1.44007,0.0018416,0.0018416,0.0018416
6,106.322,0.97406,0.77552,1.33078,0.84281,0.83534,0.90381,0.63297,1.03194,0.71051,1.43098,0.001802,0.001802,0.001802
7,123.501,0.93837,0.71712,1.28907,0.87545,0.84337,0.90648,0.63293,1.06262,0.70285,1.4546,0.0017624,0.0017624,0.0017624
8,140.565,0.931,0.72108,1.29464,0.82257,0.87509,0.91907,0.65794,1.01491,0.6773,1.41797,0.0017228,0.0017228,0.0017228
9,157.591,0.91313,0.70887,1.27752,0.88591,0.87321,0.93496,0.67021,0.9661,0.64339,1.3885,0.0016832,0.0016832,0.0016832
10,174.577,0.92189,0.695,1.28334,0.93447,0.81124,0.93023,0.67137,1.02419,0.60307,1.38825,0.0016436,0.0016436,0.0016436
11,191.652,0.87766,0.66176,1.25104,0.89346,0.86345,0.93963,0.66099,0.99327,0.61159,1.3867,0.001604,0.001604,0.001604
12,208.655,0.8776,0.68024,1.26084,0.90468,0.87666,0.92887,0.6803,0.98419,0.59942,1.39182,0.0015644,0.0015644,0.0015644
13,226.006,0.87247,0.67256,1.25224,0.87818,0.91566,0.95316,0.70391,0.95308,0.55144,1.3801,0.0015248,0.0015248,0.0015248
14,244.154,0.84992,0.6402,1.23566,0.92214,0.85614,0.93881,0.6875,0.99998,0.57874,1.41369,0.0014852,0.0014852,0.0014852
15,261.157,0.84961,0.63199,1.23641,0.94339,0.87002,0.94677,0.6733,1.00467,0.59252,1.42288,0.0014456,0.0014456,0.0014456
16,278.096,0.83517,0.62329,1.22057,0.92739,0.90361,0.95323,0.72106,0.90507,0.51424,1.34227,0.001406,0.001406,0.001406
17,296.149,0.80999,0.59742,1.19497,0.9618,0.89558,0.959,0.71139,0.9409,0.5249,1.36897,0.0013664,0.0013664,0.0013664
18,313.008,0.81435,0.60127,1.20215,0.93921,0.88353,0.95648,0.71623,0.89257,0.55285,1.30221,0.0013268,0.0013268,0.0013268
19,329.986,0.79792,0.5877,1.18735,0.9434,0.90763,0.9615,0.71083,0.92044,0.53018,1.35936,0.0012872,0.0012872,0.0012872
20,346.943,0.7863,0.57189,1.19138,0.94194,0.89558,0.9526,0.7165,0.91404,0.54469,1.31257,0.0012476,0.0012476,0.0012476
21,363.868,0.78708,0.58605,1.18445,0.88498,0.89612,0.9528,0.72693,0.89954,0.5077,1.31642,0.001208,0.001208,0.001208
22,382.13,0.7836,0.56868,1.1843,0.93828,0.91585,0.97366,0.73572,0.88339,0.49543,1.31246,0.0011684,0.0011684,0.0011684
