experiment_id,base_architecture,additional_hyperparameters,map50,map50_95,training_time,success,config_file
0,SGD_Dropout0.1_WD0.0,"{'lr0': np.float64(0.043109203045161), 'lrf': 0.10370740620424826, 'batch': 16, 'hsv_h': 0.025234342790869516, 'hsv_s': 0.1691027066398223, 'hsv_v': 0.3023216816628896, 'degrees': 12.367379933506633, 'translate': 0.025050634136244056, 'scale': 0.55487312798412, 'shear': 4.913927380188266, 'fliplr': 0.6240868943986357, 'flipud': 0.09021659504395828, 'mosaic': 0.6550737846596664, 'mixup': 0.14596634965202573}",0.9608451752900331,0.7206307576728949,697.3376252651215,True,optimized_tuning_results\config_optimized_exp_000.yaml
1,SGD_Dropout0.1_WD0.0,"{'lr0': np.float64(0.005109091915628389), 'lrf': 0.09227567665995559, 'batch': 16, 'hsv_h': 0.030918449833766584, 'hsv_s': 0.15030380481746433, 'hsv_v': 0.36389850238729604, 'degrees': 19.655709520753064, 'translate': 0.08102172359965897, 'scale': 0.5510829752197913, 'shear': 1.5507378465966632, 'fliplr': 0.5919326993040515, 'flipud': 0.08988382879679935, 'mosaic': 0.8419919659577206, 'mixup': 0.09442854309054267}",0.9608451752900331,0.7206307576728949,697.1300735473633,True,optimized_tuning_results\config_optimized_exp_001.yaml
2,SGD_Dropout0.1_WD0.0,"{'lr0': np.float64(0.005109091915628389), 'lrf': 0.09227567665995559, 'batch': 16, 'hsv_h': 0.030918449833766584, 'hsv_s': 0.15030380481746433, 'hsv_v': 0.36389850238729604, 'degrees': 19.655709520753064, 'translate': 0.08102172359965897, 'scale': 0.5510829752197913, 'shear': 1.5507378465966632, 'fliplr': 0.5919326993040515, 'flipud': 0.08988382879679935, 'mosaic': 0.8419919659577206, 'mixup': 0.09442854309054267}",0.9608451752900331,0.7206307576728949,696.5839846134186,True,optimized_tuning_results\config_optimized_exp_002.yaml
3,SGD_Dropout0.1_WD0.0,"{'lr0': np.float64(0.005109091915628389), 'lrf': 0.09227567665995559, 'batch': 16, 'hsv_h': 0.030918449833766584, 'hsv_s': 0.15030380481746433, 'hsv_v': 0.36389850238729604, 'degrees': 19.655709520753064, 'translate': 0.08102172359965897, 'scale': 0.5510829752197913, 'shear': 1.5507378465966632, 'fliplr': 0.5919326993040515, 'flipud': 0.08988382879679935, 'mosaic': 0.8419919659577206, 'mixup': 0.09442854309054267}",0.9608451752900331,0.7206307576728949,696.3027994632721,True,optimized_tuning_results\config_optimized_exp_003.yaml
4,SGD_Dropout0.1_WD0.0,"{'lr0': np.float64(0.005109091915628389), 'lrf': 0.09227567665995559, 'batch': 16, 'hsv_h': 0.030918449833766584, 'hsv_s': 0.15030380481746433, 'hsv_v': 0.36389850238729604, 'degrees': 19.655709520753064, 'translate': 0.08102172359965897, 'scale': 0.5510829752197913, 'shear': 1.5507378465966632, 'fliplr': 0.5919326993040515, 'flipud': 0.08988382879679935, 'mosaic': 0.8419919659577206, 'mixup': 0.09442854309054267}",0.9608451752900331,0.7206307576728949,700.1918747425079,True,optimized_tuning_results\config_optimized_exp_004.yaml
