epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.3385,1.564,2.16441,1.85474,0.42187,0.60643,0.41141,0.17442,1.80467,2.29484,2.22519,0.000665579,0.000665579,0.000665579
2,107.922,1.79786,2.10411,2.0444,0.58945,0.4739,0.51832,0.23558,1.91472,2.0449,2.21601,0.0012663,0.0012663,0.0012663
3,161.698,1.78408,2.03596,2.02658,0.59272,0.54217,0.56941,0.28567,1.72203,2.10467,2.12614,0.00180102,0.00180102,0.00180102
4,215.302,1.6908,1.93645,1.96021,0.67382,0.58233,0.66855,0.30778,1.74267,1.68983,2.10457,0.001703,0.001703,0.001703
5,268.667,1.60413,1.78355,1.8755,0.7709,0.72976,0.76969,0.41799,1.52139,1.45789,1.88029,0.001604,0.001604,0.001604
6,322.34,1.53266,1.63983,1.81877,0.57962,0.63454,0.58646,0.3329,1.43627,1.69902,1.83436,0.001505,0.001505,0.001505
7,374.709,1.46702,1.50355,1.74437,0.77203,0.77108,0.81225,0.50493,1.36463,1.16255,1.73425,0.001406,0.001406,0.001406
8,428.39,1.44496,1.43358,1.73146,0.75834,0.7751,0.81111,0.47058,1.414,1.19595,1.74449,0.001307,0.001307,0.001307
9,480.634,1.37332,1.32275,1.66732,0.75396,0.76303,0.80385,0.53724,1.24072,1.09865,1.63381,0.001208,0.001208,0.001208
10,533.919,1.32418,1.28702,1.62832,0.8049,0.75904,0.81526,0.5492,1.21578,1.02017,1.61804,0.001109,0.001109,0.001109
11,587.793,1.29551,1.10769,1.68261,0.80351,0.7992,0.83326,0.56841,1.21589,1.00074,1.6092,0.00101,0.00101,0.00101
12,641.011,1.24719,0.98017,1.6372,0.86524,0.79935,0.8659,0.56732,1.2285,0.9117,1.62195,0.000911,0.000911,0.000911
13,694.179,1.19241,0.90698,1.58097,0.86503,0.82364,0.87687,0.59901,1.15768,0.88204,1.55676,0.000812,0.000812,0.000812
14,746.523,1.14005,0.87279,1.53766,0.90658,0.81846,0.89171,0.60625,1.15742,0.82453,1.56906,0.000713,0.000713,0.000713
15,800.736,1.11426,0.8004,1.51487,0.91199,0.77912,0.8877,0.62823,1.06193,0.81222,1.49975,0.000614,0.000614,0.000614
16,854.336,1.07003,0.75747,1.48551,0.8734,0.86345,0.90063,0.61934,1.11584,0.7927,1.51019,0.000515,0.000515,0.000515
17,906.617,1.03722,0.70062,1.44537,0.88293,0.87149,0.90364,0.65243,1.0551,0.73439,1.49724,0.000416,0.000416,0.000416
18,960.313,0.98333,0.65786,1.39848,0.87961,0.85097,0.91111,0.65611,1.03836,0.70617,1.46362,0.000317,0.000317,0.000317
19,1014.14,0.92678,0.61794,1.35228,0.91125,0.86599,0.92349,0.67696,1.0182,0.69288,1.46284,0.000218,0.000218,0.000218
20,1067.93,0.91253,0.58924,1.34442,0.89733,0.87749,0.92669,0.67431,1.0146,0.68119,1.45297,0.000119,0.000119,0.000119
