epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.2572,1.37051,1.64003,1.50659,0.59451,0.51406,0.53754,0.29271,1.60582,1.82229,1.79451,0.0671983,9.87013e-05,9.87013e-05
2,84.7596,1.21403,1.04248,1.38895,0.83649,0.85141,0.88019,0.64513,0.95934,0.76638,1.19181,0.033955,0.000188766,0.000188766
3,126.952,1.12839,0.92411,1.32672,0.86587,0.80321,0.8829,0.56313,1.15961,0.93099,1.35584,0.000701732,0.000268831,0.000268831
4,168.995,1.12087,0.86843,1.33491,0.89301,0.88755,0.93286,0.67676,0.95393,0.68607,1.19092,0.000255,0.000255,0.000255
5,211.072,1.04478,0.79984,1.25875,0.86935,0.87952,0.92922,0.69132,0.88429,0.63481,1.15006,0.00024,0.00024,0.00024
6,253.189,1.01259,0.77965,1.24392,0.84767,0.91165,0.95015,0.70489,0.90851,0.57503,1.15008,0.000225,0.000225,0.000225
7,295.262,0.97353,0.70769,1.22096,0.93428,0.92369,0.97033,0.73434,0.83245,0.53029,1.12183,0.00021,0.00021,0.00021
