epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.4841,1.36795,1.81939,1.58214,0.66474,0.60518,0.63454,0.33026,1.63208,1.59775,1.87196,0.000662338,0.000662338,0.000662338
2,37.0463,1.57898,1.63876,1.72005,0.54506,0.46988,0.49156,0.2373,1.72639,2.28793,1.9508,0.00128515,0.00128515,0.00128515
3,54.6674,1.57801,1.61265,1.70416,0.5849,0.43775,0.47906,0.24704,1.81162,2.63369,2.03065,0.00186396,0.00186396,0.00186396
4,72.096,1.53685,1.54647,1.6763,0.70493,0.60643,0.68038,0.40339,1.42629,1.38858,1.71588,0.001802,0.001802,0.001802
5,90.8087,1.47044,1.42616,1.61277,0.81309,0.71486,0.77375,0.47856,1.39557,1.10364,1.65595,0.001736,0.001736,0.001736
6,109.597,1.40742,1.3038,1.56786,0.80767,0.69478,0.80876,0.50427,1.28261,1.09458,1.5366,0.00167,0.00167,0.00167
7,128.527,1.34105,1.1985,1.50265,0.8633,0.8116,0.86342,0.54727,1.2619,0.94516,1.53116,0.001604,0.001604,0.001604
